# d-spacing, counts, errors
1.202500000000000036e+01,5.450000000000000000e+02,2.334523505985750447e+01
1.207500000000000107e+01,5.790000000000000000e+02,2.406241883103193047e+01
1.212500000000000178e+01,5.280000000000000000e+02,2.297825058615211447e+01
1.217500000000000249e+01,5.450000000000000000e+02,2.334523505985750447e+01
1.222500000000000320e+01,5.410000000000000000e+02,2.325940669922601600e+01
1.227500000000000391e+01,5.000000000000000000e+02,2.236067977499789805e+01
1.232500000000000462e+01,4.950000000000000000e+02,2.224859546128698895e+01
1.237500000000000533e+01,4.790000000000000000e+02,2.188606862823928978e+01
1.242500000000000604e+01,5.210000000000000000e+02,2.282542442102665348e+01
1.247500000000000675e+01,5.430000000000000000e+02,2.330236039546208815e+01
1.252500000000000746e+01,4.880000000000000000e+02,2.209072203437452231e+01
1.257500000000000817e+01,5.060000000000000000e+02,2.249444375840398536e+01
1.262500000000000888e+01,4.130000000000000000e+02,2.032240143290157519e+01
1.267500000000000959e+01,4.940000000000000000e+02,2.222611077089286979e+01
1.272500000000001030e+01,4.440000000000000000e+02,2.107130750570547661e+01
1.277500000000001101e+01,4.540000000000000000e+02,2.130727575266251606e+01
1.282500000000001172e+01,4.580000000000000000e+02,2.140093455903269515e+01
1.287500000000001243e+01,4.500000000000000000e+02,2.121320343559642652e+01
1.292500000000001315e+01,4.600000000000000000e+02,2.144761058952721555e+01
1.297500000000001386e+01,4.180000000000000000e+02,2.044504830026087205e+01
1.302500000000001457e+01,4.220000000000000000e+02,2.054263858417413857e+01
1.307500000000001528e+01,4.180000000000000000e+02,2.044504830026087205e+01
1.312500000000001599e+01,4.120000000000000000e+02,2.029778313018443825e+01
1.317500000000001670e+01,3.940000000000000000e+02,1.984943324127920761e+01
1.322500000000001741e+01,4.120000000000000000e+02,2.029778313018443825e+01
1.327500000000001812e+01,4.310000000000000000e+02,2.076053949202669457e+01
1.332500000000001883e+01,4.020000000000000000e+02,2.004993765576342213e+01
1.337500000000001954e+01,4.010000000000000000e+02,2.002498439450078749e+01
1.342500000000002025e+01,4.200000000000000000e+02,2.049390153191919595e+01
1.347500000000002096e+01,4.080000000000000000e+02,2.019900987672415482e+01
1.352500000000002167e+01,3.760000000000000000e+02,1.939071942966531736e+01
1.357500000000002238e+01,3.820000000000000000e+02,1.954482028569206520e+01
1.362500000000002309e+01,3.820000000000000000e+02,1.954482028569206520e+01
1.367500000000002380e+01,3.760000000000000000e+02,1.939071942966531736e+01
1.372500000000002451e+01,4.010000000000000000e+02,2.002498439450078749e+01
1.377500000000002522e+01,3.360000000000000000e+02,1.833030277982335932e+01
