x,y
1,8
2,25
3,72
4,4
5,84
6,56
7,52
8,19
9,38
10,28
11,72
12,11
13,17
14,91
15,69
16,81
17,76
18,38
19,70
20,4
21,100
22,93
23,77
24,22
25,41
26,70
27,94
28,42
29,62
30,67
31,62
32,58
33,64
34,93
35,68
36,87
37,56
38,31
39,33
40,65
41,26
42,38
43,15
44,79
45,54
46,4
47,55
48,10
49,61
50,40
51,4
52,71
53,47
54,62
55,23
56,11
57,35
58,100
59,52
60,70
61,84
62,78
63,85
64,3
65,53
66,36
67,60
68,44
69,60
70,21
71,26
72,90
73,95
74,38
75,68
76,72
77,88
78,72
79,19
80,2
81,15
82,67
83,96
84,45
85,6
86,29
87,70
88,77
89,54
90,96
91,61
92,67
93,46
94,14
95,45
96,49
97,26
98,88
99,35
100,65
