x,y
1,71
2,53
3,43
4,55
5,23
6,76
7,95
8,53
9,57
10,11
11,85
12,68
13,50
14,41
15,58
16,65
17,46
18,56
19,99
20,0
21,11
22,97
23,98
24,98
25,95
26,1
27,73
28,74
29,71
30,65
31,59
32,81
33,31
34,66
35,85
36,77
37,56
38,71
39,81
40,45
41,56
42,79
43,75
44,31
45,37
46,67
47,57
48,77
49,33
50,37
51,78
52,61
53,38
54,13
55,5
56,1
57,11
58,34
59,19
60,50
61,70
62,24
63,65
64,42
65,13
66,17
67,87
68,23
69,42
70,41
71,72
72,46
73,68
74,54
75,52
76,8
77,53
78,17
79,33
80,72
81,7
82,95
83,6
84,69
85,73
86,16
87,73
88,31
89,24
90,77
91,28
92,41
93,43
94,17
95,75
96,77
97,36
98,93
99,66
100,8
